Number,ALICE+CMS Error,ATLAS Error,q,T,xx,yy,zz
189,29.491167291445315,14.09958270042084,1.0782009902559726,1.0,5.490626596612394,1.0466357727150606,0.22114279873272424
190,29.491167291445315,14.09958270042084,1.0782009902559726,1.0,5.490626596612394,1.0466357727150606,0.22114279873272424
191,29.449219650367347,14.218618378415371,1.0765667112441926,1.0,5.496998569581125,1.0481630564439763,0.22092775556339547
192,29.449219650367347,14.218618378415371,1.0765667112441926,1.0,5.496998569581125,1.0481630564439763,0.22092775556339547
193,29.44922007391805,14.218616824730045,1.0765667261453538,1.0,5.496998569581125,1.0481630564439763,0.22092775556339547
194,29.449219919749375,14.218617458125262,1.0765667112441926,0.9999999850988388,5.496998569581125,1.0481630564439763,0.22092775556339547
195,29.449219712708814,14.218618145880807,1.0765667112441926,1.0,5.496998584482286,1.0481630564439763,0.22092775556339547
196,29.449219443068507,14.21861918807048,1.0765667112441926,1.0,5.496998569581125,1.0481630713451375,0.22092775556339547
197,29.44921905505156,14.218620782010833,1.0765667112441926,1.0,5.496998569581125,1.0481630564439763,0.22092777046455667
198,29.449219650367347,14.218618378415371,1.0765667112441926,1.0,5.496998569581125,1.0481630564439763,0.22092775556339547
199,29.44922007391805,14.218616824730045,1.0765667261453538,1.0,5.496998569581125,1.0481630564439763,0.22092775556339547
200,29.449219919749375,14.218617458125262,1.0765667112441926,0.9999999850988388,5.496998569581125,1.0481630564439763,0.22092775556339547
201,29.449219712708814,14.218618145880807,1.0765667112441926,1.0,5.496998584482286,1.0481630564439763,0.22092775556339547
202,29.449219443068507,14.21861918807048,1.0765667112441926,1.0,5.496998569581125,1.0481630713451375,0.22092775556339547
203,29.44921905505156,14.218620782010833,1.0765667112441926,1.0,5.496998569581125,1.0481630564439763,0.22092777046455667
204,29.652541491690265,13.727329058179723,1.0882089401895951,1.0,5.3530065632459305,1.1223085621643647,0.18703436019406217
205,29.652541491690265,13.727329058179723,1.0882089401895951,1.0,5.3530065632459305,1.1223085621643647,0.18703436019406217
206,29.65254201560835,13.72732747852328,1.0882089550907563,1.0,5.3530065632459305,1.1223085621643647,0.18703436019406217
207,29.652541780366143,13.727328171462872,1.0882089401895951,0.9999999850988388,5.3530065632459305,1.1223085621643647,0.18703436019406217
208,29.652541565254335,13.727328818022558,1.0882089401895951,1.0,5.353006578147092,1.1223085621643647,0.18703436019406217
209,29.65254126416073,13.727329853858745,1.0882089401895951,1.0,5.3530065632459305,1.122308577065526,0.18703436019406217
210,29.65254077156721,13.727331530205648,1.0882089401895951,1.0,5.3530065632459305,1.1223085621643647,0.18703437509522336
211,29.652541491690265,13.727329058179723,1.0882089401895951,1.0,5.3530065632459305,1.1223085621643647,0.18703436019406217
