#: table_doi: 10.17182/hepdata.91996.v2/t3
#: name: Table 3
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the signal in the VZERO detector. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data3.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.625,0.6,0.65,5.597e+00,4.937e-03,-4.937e-03,2.152e-01,-2.152e-01,1.119e-01,-1.119e-01
0.675,0.65,0.7,4.973e+00,4.766e-03,-4.766e-03,1.801e-01,-1.801e-01,9.947e-02,-9.947e-02
0.725,0.7,0.75,4.429e+00,4.571e-03,-4.571e-03,1.583e-01,-1.583e-01,8.858e-02,-8.858e-02
0.775,0.75,0.8,3.953e+00,4.383e-03,-4.383e-03,1.385e-01,-1.385e-01,7.907e-02,-7.907e-02
0.825,0.8,0.85,3.527e+00,4.200e-03,-4.200e-03,1.195e-01,-1.195e-01,7.054e-02,-7.054e-02
0.875,0.85,0.9,3.154e+00,4.026e-03,-4.026e-03,1.062e-01,-1.062e-01,6.425e-02,-6.425e-02
0.925,0.9,0.95,2.815e+00,3.847e-03,-3.847e-03,9.199e-02,-9.199e-02,5.854e-02,-5.854e-02
0.975,0.95,1.0,2.516e+00,3.643e-03,-3.643e-03,9.031e-02,-9.031e-02,5.337e-02,-5.337e-02
1.05,1.0,1.1,2.148e+00,2.363e-03,-2.363e-03,8.190e-02,-8.190e-02,4.714e-02,-4.714e-02
1.15,1.1,1.2,1.743e+00,2.103e-03,-2.103e-03,6.866e-02,-6.866e-02,4.011e-02,-4.011e-02
1.25,1.2,1.3,1.406e+00,1.861e-03,-1.861e-03,5.431e-02,-5.431e-02,3.499e-02,-3.499e-02
1.35,1.3,1.4,1.177e+00,1.710e-03,-1.710e-03,4.546e-02,-4.546e-02,2.929e-02,-2.929e-02
1.45,1.4,1.5,9.419e-01,1.504e-03,-1.504e-03,3.833e-02,-3.833e-02,2.623e-02,-2.623e-02
1.55,1.5,1.6,7.953e-01,1.387e-03,-1.387e-03,3.236e-02,-3.236e-02,2.214e-02,-2.214e-02
1.65,1.6,1.7,6.465e-01,1.235e-03,-1.235e-03,2.783e-02,-2.783e-02,2.029e-02,-2.029e-02
1.75,1.7,1.8,5.442e-01,1.136e-03,-1.136e-03,2.343e-02,-2.343e-02,1.708e-02,-1.708e-02
1.85,1.8,1.9,4.479e-01,1.020e-03,-1.020e-03,2.163e-02,-2.163e-02,1.691e-02,-1.691e-02
1.95,1.9,2.0,3.789e-01,9.402e-04,-9.402e-04,1.830e-02,-1.830e-02,1.430e-02,-1.430e-02
2.1,2.0,2.2,2.920e-01,5.792e-04,-5.792e-04,1.386e-02,-1.386e-02,1.102e-02,-1.102e-02
2.3,2.2,2.4,2.089e-01,4.877e-04,-4.877e-04,1.016e-02,-1.016e-02,7.886e-03,-7.886e-03
2.5,2.4,2.6,1.517e-01,4.140e-04,-4.140e-04,7.289e-03,-7.289e-03,5.727e-03,-5.727e-03
2.7,2.6,2.8,1.114e-01,3.528e-04,-3.528e-04,5.442e-03,-5.442e-03,4.204e-03,-4.204e-03
2.9,2.8,3.0,8.339e-02,3.043e-04,-3.043e-04,4.058e-03,-4.058e-03,3.148e-03,-3.148e-03
3.1,3.0,3.2,6.319e-02,2.640e-04,-2.640e-04,3.107e-03,-3.107e-03,2.390e-03,-2.390e-03
3.3,3.2,3.4,4.755e-02,2.274e-04,-2.274e-04,2.317e-03,-2.317e-03,1.794e-03,-1.794e-03
3.5,3.4,3.6,3.733e-02,2.020e-04,-2.020e-04,1.819e-03,-1.819e-03,1.409e-03,-1.409e-03
3.7,3.6,3.8,2.846e-02,1.745e-04,-1.745e-04,1.388e-03,-1.388e-03,1.079e-03,-1.079e-03
3.9,3.8,4.0,2.243e-02,1.548e-04,-1.548e-04,1.094e-03,-1.094e-03,8.503e-04,-8.503e-04
4.25,4.0,4.5,1.518e-02,7.997e-05,-7.997e-05,7.316e-04,-7.316e-04,5.731e-04,-5.731e-04
4.75,4.5,5.0,9.053e-03,6.159e-05,-6.159e-05,4.364e-04,-4.364e-04,3.418e-04,-3.418e-04
