#: table_doi: 10.17182/hepdata.91996.v2/t1
#: name: Table 1
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
3.1,3.0,3.2,1.383e-01,3.648e-04,-3.648e-04,8.931e-03,-8.931e-03,7.458e-03,-7.458e-03
3.3,3.2,3.4,1.058e-01,3.169e-04,-3.169e-04,6.832e-03,-6.832e-03,5.708e-03,-5.708e-03
3.5,3.4,3.6,8.335e-02,2.819e-04,-2.819e-04,5.381e-03,-5.381e-03,4.496e-03,-4.496e-03
3.7,3.6,3.8,6.347e-02,2.435e-04,-2.435e-04,4.072e-03,-4.072e-03,3.424e-03,-3.424e-03
3.9,3.8,4.0,5.021e-02,2.164e-04,-2.164e-04,3.222e-03,-3.222e-03,2.709e-03,-2.709e-03
4.25,4.0,4.5,3.408e-02,1.119e-04,-1.119e-04,2.183e-03,-2.183e-03,1.838e-03,-1.838e-03
4.75,4.5,5.0,2.010e-02,8.573e-05,-8.573e-05,1.288e-03,-1.288e-03,1.084e-03,-1.084e-03
5.25,5.0,5.5,1.233e-02,6.624e-05,-6.624e-05,7.856e-04,-7.856e-04,6.650e-04,-6.650e-04
5.75,5.5,6.0,7.929e-03,5.313e-05,-5.313e-05,5.053e-04,-5.053e-04,4.277e-04,-4.277e-04
6.25,6.0,6.5,5.046e-03,4.154e-05,-4.154e-05,3.188e-04,-3.188e-04,2.722e-04,-2.722e-04
6.75,6.5,7.0,3.504e-03,3.462e-05,-3.462e-05,2.214e-04,-2.214e-04,1.890e-04,-1.890e-04
7.5,7.0,8.0,2.146e-03,1.915e-05,-1.915e-05,1.356e-04,-1.356e-04,1.157e-04,-1.157e-04
9.0,8.0,10.0,8.843e-04,8.599e-06,-8.599e-06,5.578e-05,-5.578e-05,4.781e-05,-4.781e-05
11.5,10.0,13.0,2.653e-04,3.803e-06,-3.803e-06,1.711e-05,-1.711e-05,1.461e-05,-1.461e-05
16.5,13.0,20.0,4.959e-05,1.074e-06,-1.074e-06,3.348e-06,-3.348e-06,2.754e-06,-2.754e-06

#: SQRT(S) [TEV],,,13
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (VII')],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.175,0.15,0.2,2.823e+01,2.112e-02,-2.112e-02,1.241e+00,-1.241e+00,9.339e-01,-9.339e-01
0.225,0.2,0.25,2.765e+01,1.487e-02,-1.487e-02,1.132e+00,-1.132e+00,9.155e-01,-9.155e-01
0.275,0.25,0.3,2.595e+01,1.396e-02,-1.396e-02,1.066e+00,-1.066e+00,8.600e-01,-8.600e-01
