#: table_doi: 10.17182/hepdata.91996.v2/t4
#: name: Table 4
#: description: Transverse momentum spectra as a function of the event multiplicity for pp collisions at 5.02 TeV. Event multiplicity is estimated with the signal in the VZERO detector. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.
#: data_file: data4.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: 
#: keyword cmenergies: 
#: SQRT(S) [TEV],,,5.02
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
pT [GEV/C],pT [GEV/C] LOW,pT [GEV/C] HIGH,d^2N/dEtadpT [C/GEV (X)],stat +,stat -,"sys,total +","sys,total -","sys,uncorrelated +","sys,uncorrelated -"
0.575,0.55,0.6,4.963e+00,2.859e-03,-2.859e-03,2.059e-01,-2.059e-01,1.123e-01,-1.123e-01
0.625,0.6,0.65,4.357e+00,2.739e-03,-2.739e-03,1.820e-01,-1.820e-01,9.952e-02,-9.952e-02
0.675,0.65,0.7,3.841e+00,2.639e-03,-2.639e-03,1.524e-01,-1.524e-01,8.873e-02,-8.873e-02
0.725,0.7,0.75,3.386e+00,2.521e-03,-2.521e-03,1.311e-01,-1.311e-01,8.418e-02,-8.418e-02
0.775,0.75,0.8,2.984e+00,2.403e-03,-2.403e-03,1.133e-01,-1.133e-01,7.508e-02,-7.508e-02
0.825,0.8,0.85,2.642e+00,2.295e-03,-2.295e-03,9.827e-02,-9.827e-02,6.701e-02,-6.701e-02
0.875,0.85,0.9,2.340e+00,2.189e-03,-2.189e-03,8.521e-02,-8.521e-02,6.008e-02,-6.008e-02
0.925,0.9,0.95,2.079e+00,2.089e-03,-2.089e-03,7.536e-02,-7.536e-02,5.410e-02,-5.410e-02
0.975,0.95,1.0,1.844e+00,1.972e-03,-1.972e-03,7.176e-02,-7.176e-02,4.854e-02,-4.854e-02
1.05,1.0,1.1,1.558e+00,1.273e-03,-1.273e-03,6.341e-02,-6.341e-02,4.198e-02,-4.198e-02
1.15,1.1,1.2,1.241e+00,1.124e-03,-1.124e-03,5.227e-02,-5.227e-02,3.437e-02,-3.437e-02
1.25,1.2,1.3,9.895e-01,9.916e-04,-9.916e-04,4.131e-02,-4.131e-02,2.890e-02,-2.890e-02
1.35,1.3,1.4,8.097e-01,8.984e-04,-8.984e-04,3.397e-02,-3.397e-02,2.376e-02,-2.376e-02
1.45,1.4,1.5,6.442e-01,7.913e-04,-7.913e-04,2.886e-02,-2.886e-02,2.099e-02,-2.099e-02
1.55,1.5,1.6,5.324e-01,7.207e-04,-7.207e-04,2.384e-02,-2.384e-02,1.719e-02,-1.719e-02
1.65,1.6,1.7,4.309e-01,6.419e-04,-6.419e-04,2.046e-02,-2.046e-02,1.545e-02,-1.545e-02
1.75,1.7,1.8,3.559e-01,5.843e-04,-5.843e-04,1.693e-02,-1.693e-02,1.269e-02,-1.269e-02
1.85,1.8,1.9,2.915e-01,5.243e-04,-5.243e-04,1.525e-02,-1.525e-02,1.201e-02,-1.201e-02
1.95,1.9,2.0,2.426e-01,4.785e-04,-4.785e-04,1.272e-02,-1.272e-02,9.927e-03,-9.927e-03
2.1,2.0,2.2,1.838e-01,2.924e-04,-2.924e-04,9.515e-03,-9.515e-03,7.480e-03,-7.480e-03
2.3,2.2,2.4,1.288e-01,2.437e-04,-2.437e-04,6.818e-03,-6.818e-03,5.258e-03,-5.258e-03
2.5,2.4,2.6,9.194e-02,2.050e-04,-2.050e-04,4.854e-03,-4.854e-03,3.742e-03,-3.742e-03
2.7,2.6,2.8,6.630e-02,1.733e-04,-1.733e-04,3.512e-03,-3.512e-03,2.699e-03,-2.699e-03
2.9,2.8,3.0,4.824e-02,1.470e-04,-1.470e-04,2.535e-03,-2.535e-03,1.961e-03,-1.961e-03
3.1,3.0,3.2,3.588e-02,1.265e-04,-1.265e-04,1.890e-03,-1.890e-03,1.463e-03,-1.463e-03
3.3,3.2,3.4,2.663e-02,1.081e-04,-1.081e-04,1.417e-03,-1.417e-03,1.093e-03,-1.093e-03
3.5,3.4,3.6,2.048e-02,9.496e-05,-9.496e-05,1.098e-03,-1.098e-03,8.362e-04,-8.362e-04
3.7,3.6,3.8,1.546e-02,8.179e-05,-8.179e-05,8.110e-04,-8.110e-04,6.289e-04,-6.289e-04
3.9,3.8,4.0,1.196e-02,7.179e-05,-7.179e-05,6.294e-04,-6.294e-04,4.872e-04,-4.872e-04
4.25,4.0,4.5,7.959e-03,3.679e-05,-3.679e-05,4.230e-04,-4.230e-04,3.249e-04,-3.249e-04
4.75,4.5,5.0,4.526e-03,2.767e-05,-2.767e-05,2.409e-04,-2.409e-04,1.845e-04,-1.845e-04
